,,,,,,,,,,,,,
,,,,,,Fecha de Elaboración,,Versión,,,,,
,,,,,,feb-26,,V1,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Actividad de Riesgo,,,,Evaluación del Riesgo Inherente,,,,Ambiente de Control,,,,
,Ámbito de Riesgo General,Descripción de la Actividad,Descripción de la Situación de Riesgo,Contingencias Asociadas,Frecuencia,Probabilidad,Impacto,Clasificación del Riesgo (Probabilidad x Impacto),Controles Existentes,Política y/o Procedimiento,Áreas Expuestas,Responsables de la actividad de riesgo,
,Gestión Tributaria,Entrega de información al SII. ,Entregar información falsa a la autoridad con el objeto de evitar el pago de impuestos o declarar y pagar montos menores por conceptos de impuestos. ,"• Disminución engañosa del monto del impuesto (Art. 97 N°4 CT).
• Omisión maliciosa de declaraciones (Art. 97 N°5 CT).
• Falsificación y uso de instrumento privado o instrumento privado mercantil falso (Art. 197 y 198 CP).
• Fraude por sustracción, ocultación, destrucción o inutilización de documento (Art. 470 N°5 CP).
• Obtención fraudulenta de prestaciones (Art. 470 N°8 CP).",Mensual,1,3,3,No,• Código de Ética / • Política de interacción con funcionarios públicos,"Gerencia General, Legal, Ventas / Comercial",Legal / Finanzas,
,Gestión Tributaria,Realización de donaciones.,Realizar donaciones a instituciones que se acogen a la Ley de Donaciones sin seguir los protocolos definidos por la ley y por la Compañía.,• Abuso de beneficios tributarios relativos a donaciones (Art. 97 N°24 CT).,Anual,1,2,2,no,• Política de Donaciones y Voluntariado Corporativo. ,"Finanzas, Gerencia General",Finanzas / Legal,
,Gestión Tributaria,Retención de impuestos.,"En su calidad de agente retenedor, la compañía retiene el impuesto de segunda categoría, impuesto adicional u otro, el cual no entera posteriormente. ","• Apropiación indebida (Art. 470 N° 1 CP).
• Disminución engañosa del monto del impuesto (Art. 97 N° 4 CT).
• Omisión maliciosa de declaraciones (Art. 97 N° 5 CT). ",Mensual,1,3,3,No,,"Finanzas, Gerencia General",Finanzas,
,Gestión Tributaria,Despacho de productos.,"Despacho de productos sin guía de despacho, o utilizando de forma maliciosa una guía de despacho emitida por la Compañía.","• Disminución engañosa del monto del impuesto (Art. 97 N°4 CT). 
• Omisión maliciosa de declaraciones (Art. 97 N°5 CT). 
• Falsificación y uso de instrumento privado o instrumento privado mercantil falso (Art. 197 y 198 CP). 
• Fraude por sustracción, ocultación, destrucción o inutilización de documento (Art. 470 N°5 CP). 
• Obtención fraudulenta de prestaciones (Art. 470 N°8 CP).",Inusual,2,3,6,no,• Procedimiento de despachos,"Finanzas, Gerencia General",Finanzas,
,Gestión Tributaria,Importación de productos. ,Trabajadores de la compañía entregan antecedentes falsos con el objeto de recibir la devolución de gravámenes aduaneros ya pagados. ,• Recepción indebida de devolución de gravámenes aduaneros (Art. 134 DL No. 30). ,Mensual,1,3,3,No,,"Finanzas, Gerencia General",Finanzas,
,"Donaciones, Regalos y otras dádivas",Recepción de beneficios / dádivas.,"Recibir ventajas indebidas, dádivas, invitaciones, regalos o dinero de proveedores, o socios comerciales con el fin de favorecer su contratación o la continuidad de las relaciones.",• Corrupción entre particulares (Art. 287 bis y 287 ter CP).,Ocasional,2,4,8,Sí,• Código de Ética. ,"Finanzas, Legal, Operaciones /  Ventas / Comercial",Legal,
,"Donaciones, Regalos y otras dádivas",Entrega de beneficios / dádivas a terceros.,"Entregar beneficios, dádivas, donaciones o aportes sin realizar una revisión previa del beneficiario (e.g., para identificar eventuales conflictos de interés, financiamiento de actividades ilícitas, entre otras).","• Cohecho a funcionario público (Art. 250 y 251 bis CP).
• Corrupción entre particulares (Art. 287 bis y 287 ter CP).
• Financiamiento ilegal de partidos o campañas políticas (Art. 30 Ley 19.884).
• Financiamiento del Terrorismo (Art 8 de la Ley N°18.314).
• Financiamiento de agrupaciones militarizadas ilegales (Art. 8  Ley No. 17.798).",Ocasional,2,4,8,no,"• Política de Donaciones
","Gerencia General, Legal, Ventas / Comercial",Legal,
,Contratación y Relaciones Laborales,Pago de remuneraciones y/o cotizaciones previsionales.,"Compañía contrata a colaboradores, a quienes se les da una remuneración inferior al mínimo legal, abusando de su situación o condición y/o no se les entera debidamente sus cotizaciones previsionales (e.g. extranjeros, menores de edad, personas en situación de discapacidad).","• Explotación laboral (Art. 472 bis CP).
• Delitos asociados a cotizaciones previsionales (Art. 13, 13 bis Ley No. 17.322 y 19 DL 3.500).",Mensual,2,3,6,no,• Procedimiento de pago,"Gerencia General, RRHH / Personas",RRHH,
,Contratación y Relaciones Laborales,Contratación de trabajadores.,"Contratación de colaboradores que pertenecieron a la competencia, a quienes se les obliga o compele a la revelación de secretos comerciales.","• Acceso a secreto comercial por intromisión (Art. 284 CP).
• Revelación de secreto comercial (Art. 284 bis CP).
• Aprovechamiento económico de secreto comercial (Art. 284 ter CP).",Mensual,1,3,3,no,• Política de Reclutamiento y Selección. ,"Legal, Operaciones / TI / Ciberseguridad",RRHH / Gerencia General,
,Contratación y Relaciones Laborales,Contratación de personal por terceros.,"Contratistas, subcontratistas u otros terceros con quienes la compañía tiene una relación comercial, contratan personal sin cumplir las normas legales o las directrices establecidas por la Compañía.","• Promoción o financiamiento de la trata de personas (Art. 411 quáter CP).
•  Explotación laboral (Art. 72 bis CP).",Anual,1,3,3,No,,"Finanzas, Legal, Operaciones /  Ventas / Comercial",Legal,
